AMP;Ankh-Morpork;;;;x;;;;;;;
AMP_fascist;Ankh-Morpork;;;;x;;;;;;;
AMP_communist;Ankh-Morpork;;;;x;;;;;;;
AMP_anarcho_liberal;Ankh-Morpork;;;;x;;;;;;;
AMP_reactionary;Ankh-Morpork;;;;x;;;;;;;
AMP_socialist;Ankh-Morpork;;;;x;;;;;;;
AMP_liberal_2;Ankh-Morpork;;;;x;;;;;;;
AMP_liberal;Ankh-Morpork;;;;x;;;;;;;
AMP_conservative;Ankh-Morpork;;;;x;;;;;;
AMP_vetinarism;Vetinarism;;;;x;;;;;;
AME;Morporkian Empire;;;;x;;;;;;;
AME_republic;Morporkian Empire;;;;x;;;;;;;
AME_fascist;Morporkian Empire;;;;x;;;;;;;
AME_communist;Morporkian Empire;;;;x;;;;;;;
AME_anarcho_liberal;Morporkian Empire;;;;x;;;;;;;
AME_reactionary;Morporkian Empire;;;;x;;;;;;;
AME_socialist;Morporkian Empire;;;;x;;;;;;;
AME_liberal_2;Morporkian Empire;;;;x;;;;;;;
AME_liberal;Morporkian Empire;;;;x;;;;;;;
AME_conservative;Morporkian Empire;;;;x;;;;;
AMP_ADJ;Morporkian;;;;;;;;;;;;;x;;;;
AME_ADJ;Morporkian;;;;;;;;;;;;;x;;;;
